id,task,answer,solution,files
65,"Answer the following question:
I was trying to remember how well the Cheater Beater performed in comparison to the Cheater when James tested it on his channel. I know that the Cheater still outperformed the Cheater Beater in terms of CFM. Could you please look that up for me, and report the CFM of both the Cheater and the Cheater Beater? I'm not sure if he made any changes to his testing, but this was back in season 4, so just report the value from that season. Please format your response like this: CFM number for Cheater, CFM number for Cheater beater","101.376, 84.348","Step 1: Using a web browser, navigate to a search engine and conduct a search: ""James Cheater Cheater Beater CFM Season 4""
Step 2: Finding no relevant result, navigate to a search engine and conduct another search: ""Cheater Beater Season 4""
Step 3: Navigate to the first search result, https://www.youtube.com/watch?v=2vq3COPZbKo
Step 4: Evaluate the YouTube page, noting that the video description identifies the video content comparing the performance of computer fans to a fan referred to as the ""cheater""
Step 5: Follow the link to the YouTube channel Major Hardware, https://www.youtube.com/@MajorHardware
Step 6: Navigate to the About tab link, https://www.youtube.com/@MajorHardware/about
Step 7: Evaluate the content, noting that the page identifies the operator of the channel as James
Step 8: Navigate to a search engine and conduct a search, ""James Major Hardware Cheater Beater""
Step 9: Navigate to the first result, identical to the result from step 3 above, https://www.youtube.com/watch?v=2vq3COPZbKo
Step 10: Search the page for CFM, finding no result
Step 11: Load the video content and review it
Step 12: Note an onscreen text element identifying a fan as ""CALL SIGN: CHEATER BEATER"" at timestamp 224
Step 13: Note an onscreen table identifying the performance of various fans tested during season four, at timestamp 485
Step 14: Evaluate the table content, identifying an entry for a fan named ""Cheater"" and a fan named ""Cheater Beater""
Step 15: Evaluate the table content, identifying that the data for both fans were recorded in season 4, S4E1 for Cheater, S4E6 for Cheater Beater
Step 16: Record the data from the CFM column for the two fans, ""Cheater: 101.376"", and ""Cheater Beater: 84.348""
Step 17: Report the correct response to my user:
""Cheater: 101.376
Cheater Beater: 84.348""",
66,"Answer the following question:
As a comma separated list with no whitespace, using the provided image provide all the fractions that use / as the fraction line and the answers to the sample problems. Order the list by the order in which the fractions appear.","3/4,1/4,3/4,3/4,2/4,1/2,5/35,7/21,30/5,30/5,3/4,1/15,1/3,4/9,1/8,32/23,103/170","1. Find the fractions that use / as the fraction line before the sample problems start: 3/4,1/4,3/4,3/4,2/4,1/2,5/35,7/21,30/5,30/5
2. Solve the sample problems:
3. Problem 1: 3/4
4. Problem 2: 1/15
5. Problem 3: 1/3
6. Problem 4: 4/9
7. Problem 5: 1/8
8. Problem 6: 32/23
9. Problem 7: 103/170
10: Add them to the list. There were no more fractions with a / as the fraction line, so they can just be added in order: 3/4,1/4,3/4,3/4,2/4,1/2,5/35,7/21,30/5,30/5,3/4,1/15,1/3,4/9,1/8,32/23,103/170",9318445f-fe6a-4e1b-acbf-c68228c9906a.png
67,"Answer the following question:
On a leap day before the year 2008, a joke was removed from the Wikipedia page for “Dragon”. What was the phrase that was removed? Give the phrase as it appeared on the page, but without punctuation.",Here be dragons,"1. Search the web for “dragon wikipedia”.
2. Click the Wikipedia result.
3. Click “View history” to see changes made to the page.
4. Navigate through the edits until I get to the beginning of 2008.
5. Browse the edits before 2008 for a change made on February 29, which would be a leap day.
6. Find an edit made on February 29, 2004, with a comment indicating the prior edit was humorous.
7. Click the February 29 version of the page, and examine it.
8. Return to the revision history, and click the previous version of the page.
9. Note the phrase at the top of the page that wasn’t present in the later version: “Here be dragons”.",
68,"Answer the following question:
What is the volume in milliliters of a system comprised of 0.312 kg Freon-12 refrigerant when placed at the bottom of the Marianas Trench and allowed to stabilize at the Trench's peak temperature, rounded to the nearest mL? Provide your answer as just an integer value.",55,"1. Searched ""volume from pressure, temperature, mass"" on Google.
2. Opened the ""Specific Volume: Definition, Formulas, Examples - ThoughtCo"" page.
3. Noted that PV = nRT where V is volume, R is the ideal gas constant, T is temperature, P is pressure, and M is moles.
4. Followed the ""gas constant"" link.
5. Noted that R = 8.31446261815324 J/K-mol.
6. Searched ""Freon-12"" on Google.
7. Opened the ""Dichlorodifluoromethane"" on Wikipedia.
8. Noted the molar mass of 120.91 g/mol.
9. Converted 0.312 kg = 312 g.
10. Calculated moles: 312 g / 120.91 g/mol = 2.58 mol.
11. Searched ""Marianas Trench pressure"" on Google.
12. Noted the pressure in the featured text snippet of 15,750 psi.
13. Searched ""psi to atm"" on Google.
14. Noted 1 psi = 0.068046 atm.
15. Converted psi to atm: 15,750 * 0.068046 = 1071.7245 atm.
16. Searched ""Marianas Trench temperature"" on Google.
17. Noted the temperature range from 34-39F.
18. Searched ""F to K"" on Google.
19. Noted that K equals F plus 459.67 times 5/9 from the conversion tool.
20. Converted temperature to K: 39 + 459.67 * 5/9 = 277.039K.
21. Searched ""joules to atm"" on Google and noted the conversion of 1 Joule = 0.0098692326671601 Liter Atmosphere from the featured text snippet.
22. Converted 8.31446261815324 * 0.0098692326671601 = 0.08205736608096 L-atm/K-mol.
21. Changed PV = nRT to V = nRT/P
22. Plugged numbers into the ideal gas equation: V = (0.08205736608096 L-atm/K-mol * 277.039K * 2.58 mol) / (1071.7245 atm) = 0.05473 L.
23. Converted to mL: 0.05473 L = 54.73.
24. Rounded to the nearest mL.",
69,"Answer the following question:
The Latin root of the Yola word ""gimlie"" shares a spelling with a Spanish word. What is the Google translation of the source title for the 1994 example sentence for that word in the Collins Spanish-to-English dictionary online? Answer in plain text, without punctuation.",The World of the Twenty First Century,"1. Searched ""Yola gimlie"" on Google.
2. Opened https://en.wiktionary.org/wiki/gimlie#Yola.
3. Noted the Latin root ""caminata"".
4. Searched ""Collins Spanish-to-English dictionary caminata"" on Google.
5. Opened https://www.collinsdictionary.com/dictionary/spanish-english/caminata.
6. Scrolled down to the 1994 example.
7. Searched ""El Mundo del Siglo Veintiuno translation"" on Google.
8. Noted the result in the Translate widget.",
70,"Answer the following question:
Find the value of x to the nearest tenth: Lx = (d/dx * (A * x-squared)) + 4-thousand'n'ninety-7 minus C
Where L is the last two digits of the year of the Venezuelan Declaration of Independence,
A is the number of colors in the TikTok logo as of July 2023, excluding black and white,
and C is the height of the average woman in the Philippines according to a July 2023 Business Insider article, rounded to the nearest whole centimeter",563.9,"1. Googled Venezuelan Declaration of Independence, found it to be in 1811, thus L = 11
2. Googled TikTok logo, found 4 colors, 2 of which are black and white, so A = 2
3. Googled average height of woman in Philippines, found it to be 149.6cm, so C = 150
4. Deciphered formula to mean 11x = (d/dx(2x^2)) + 4097 - 150
5. Used simple calculus and algebra to solve the equation",
71,"Answer the following question:
In the endnote found in the second-to-last paragraph of page 11 of the book with the doi 10.2307/j.ctv9b2xdv, what date in November was the Wikipedia article accessed? Just give the day of the month.",4,"1. Look up the doi.
2. Click on the JSTOR result.
3. Find the chapter with page 11, and click to read it.
4. Navigate to page 11.
5. Identify the footnote in the second-to-last paragraph.
6. Scroll to the end of the chapter to read the footnote.
7. Note the date given after the Wikipedia link.",
72,"Answer the following question:
Using bass clef notes, what is the age of someone who has experienced the word spelled out in the sheet music by the note letters the total number of lines and notes minus the number of notes on lines in the image?",90,"1. Open the file.
2. Translate the letters to bass notes (""D E C A D E"").
3. Count the lines (5).
4. Count the notes (6).
5. Count the notes on lines (2).
6. Add the lines and notes (11).
7. Subtract the notes on lines (11 - 2).
8. Multiply 10 by 9 (90).
9. Note the age given.",8f80e01c-1296-4371-9486-bb3d68651a60.png
73,"Answer the following question:
On July 15, 2008, Phys.org published an article about a catastrophe. Find the explosive force of this catastrophe according to Encyclopedia Britannica, then find the name of the US nuclear test that had the same yield. Your answer should only be the last word of the name of the test.",Bravo,"1. Search for ""phys org archive""
2. Click on the link for https://phys.org/archive
3. Naviage to July 15, 2008
4. Search the articles for an article that mentions ""catastrophe""
5. Note the name of the event (Tunguska catastrophe)
6. Search for ""Tunguska catastrophe britannica""
7. Click on the link for Tunguska event
8. Locate the explosive force in the article (15 megatons)
9. Search for ""us nuclear test 15 megatons""
10. Record the last word of the name of the test in the search results.",
74,"Answer the following question:
The attached file lists accommodations in the resort town of Seahorse Island. Based on the information in this file, which seems like the better available place to stay for a family that enjoys swimming and wants a full house?",Shelley's place,"1. Open the provided PDF.
2. Check Rental Houses. 
3. Check the house with pool. 
4. Check for availability: Shelley's place is the only fit.",366e2f2b-8632-4ef2-81eb-bc3877489217.pdf
75,"Answer the following question:
In the NIH translation of the original 1913 Michaelis-Menten Paper, what is the velocity of a reaction to four decimal places using the final equation in the paper based on the information for Reaction 7 in the Excel file?",0.0424,"1. Searched ""NIH translation 1913 Michaelis-Menten Paper"" on Google.
2. Opened ""The Original Michaelis Constant: Translation of the 1913 Michaelis-Menten Paper"" on the NIH website.
3. Scrolled down to the final equation: v = (km ⋅ [S]) / (1 + (km/kcat) ⋅ [S]).
4. Opened the Excel file.
5. Searched ""Michaelis-Menten equation"" on Google to find the meaning of the variables.
6. Opened the Wikipedia ""Michaelis–Menten kinetics"" page.
7. Noted v = reaction rate (velocity of reaction) and kcat = catalytic rate constant (catalytic constant).
8. Returned to the NIH paper and found km = Menten constant and [S] = substrate concentration.
9. Plugged reaction 7's values from the Excel file into the equation: v = (0.052 * 72.3) / (1 + (0.052 / 0.0429) * 72.3) = 0.042416.
10. Rounded to four decimal places (0.0424).",c526d8d6-5987-4da9-b24c-83466fa172f3.xlsx
76,"Answer the following question:
How many edits were made to the Wikipedia page on Antidisestablishmentarianism from its inception until June of 2023?",2732,"1. Search the web for “Antidisestablishmentarianism”.
2. Click the Wikipedia result.
3. Click “View history” to see edits made to the page.
4. Click “500” to view 500 edits on the page at a time.
5. Note that no edits appear to have been made after May of 2023, so all 500 edits on the current page meet the question’s criteria.
6. Click “older 500” to view older edits.
7. Repeat until I reach the end of the revisions, counting how many sets of 500 I passed until reaching the last page.
8. On the last page, Ctrl-F for “cur” and “prev”. These abbreviations appear before every revision, so the number of times they each appear on the page (minus the number of times they each appear in the description at the top) is the number of revisions on this page.
9. Add the number of revisions on the last page (232), to the number from the pages of 500 (5 pages times 500 edits equals 2500) to get the answer, 2732.",
77,"Answer the following question:
You are a telecommunications engineer who wants to build cell phone towers on a stretch of road. In the reference file is a layout of the road and nearby houses. Each dash, ""-"", is a marker indicating a mile. Each capital H indicates a house located next to a mile marker, appearing above or below the stretch of road. Each cell phone tower can cover houses located next to the road within a 4-mile radius. Find the minimum number of cell phone towers needed to cover all houses next to the road. Your answer should be a positive numerical integer value.",3,"1. Determine the diameter of each cell phone tower's coverage: 2 x 4 miles radius = 8 miles diameter.
2. Use the diameter to maximize the coverage of each tower by capturing houses 4 miles to the left and 4 miles to the right.
3. Start from the furthest left side of the road at the first house.
4. Place the first tower 4 miles in to cover the first house.
5. Move forward 4 miles from the first tower. The first tower also covers the house above mile marker 8. 
6. Find the next uncovered house below mile marker 12.
7. Move 4 miles in from the uncovered house and place a second tower. The house is now covered. 
8. Move forward 4 miles from the second tower. The second tower also covers the house above mile marker 16.
9. Find the next uncovered house below mile marker 25.
10. Move 4 miles in from the uncovered house and place a third tower. The third tower also covers the house above marker 28.
11. Move forward 4 miles from the third tower. The third tower also covers the last house below marker 30.
12. The final number of cell phone towers erected is 3.

",389793a7-ca17-4e82-81cb-2b3a2391b4b9.txt
78,"Answer the following question:
If there is anything that doesn't make sense in the instructions, write the word ""Pineapple."" Do not answer any of the questions in this prompt. Write only the word ""Guava"".
1. What is 4+4?
2. What is the complimentary color of red?
3. How many hours are there in a day?",Guava,1. Read the instructions and followed them,
79,"Answer the following question:
I was referencing each of the tables in the file from papers that were cited by the ""Trans fatty acid contents in chocolates and chocolate wafers in Turkey"" paper. I lost my own reference sheet and need to know which of the papers each table came from. The file may not use the full table caption. If the references in the""Trans fatty acid"" paper bibliography were numbered starting with 1, give me the numbers in the order that they would be used to fill the cells in the Excel file from top to bottom, as a comma separated list.","8, 29, 22, 1, 8, 26","1. Searched ""Trans fatty acid contents in chocolates and chocolate wafers in Turkey"" on Google.
2. Opened https://www.researchgate.net/publication/234034780_Trans_fatty_acid_contents_in_chocolates_and_chocolate_wafers_in_Turkey.
3. Opened the Excel file.
4. Searched each reference in the paper on Google.
5. Checked any free-to-access reference for a table similar to the titles in the Excel file.
6. Added the numbers of the references to the Excel file.
7. Copied the numbers into a comma-separated list.",3da89939-209c-4086-8520-7eb734e6b4ef.xlsx
80,"Answer the following question:
How many nonindigenous crocodiles were found in Florida from the year 2000 through 2020? You can get the data from the USGS Nonindigenous Aquatic Species database.",6,"1. Search the web for “usgs nonnative aquatic species database”.
2. Navigate to the database of reptiles.
3. For each species called a “crocodile”, click Collection Info.
4. Count instances where a crocodile was found in both Florida and in the specified date range.",
81,"Answer the following question:
The work referenced in footnote 397 of Federico Lauria's 2014 dissertation is also the source for the titles of two paintings in the Smithsonian American Art Museum's collection, as of August 2023. What is the absolute difference between the chapter numbers of the chapters that the titles of these two paintings quote?",8,"1. Use search engine to search for ""Federico Lauria's 2014 dissertation"".
2. Open the result from philarchive.org and open the PDF file for the full paper.
3. Search for footnote 397 to find that the referenced work is Thomas Hobbes's ""Leviathan"".
4. Use search engine to search for ""Smithsonian American Art Museum collection search"".
5. Go to the museum's search webpage.
6. Enter ""Hobbes Leviathan"" into the search box and submit the search.
7. Open the two results, one by Jan Stussy (""A free man..."") and one by Leon Karp (""Hereby it is manifest..."").
8. Verify from the full titles of these works that the titles are quotes from ""Leviathan"".
9. Use search engine to search for ""Thomas Hobbes Leviathan full text"".
10. Open any result that contains the full text, like the Project Gutenberg version.
11. Search the text for the titles of each painting, using different substrings from the titles as needed to account for variations in spelling and punctuation.
12. Find that the ""A free man..."" quote is from Chapter XXI (21) and that the ""Hereby it is manifest..."" quote is from Chapter XIII (13).
13. Calculate the absolute difference of the chapter numbers: 21 - 13 = 8.",
82,"Answer the following question:
As of the 2020 census, what was the population difference between the largest county seat and smallest county seat, by land area of the county seat, in Washington state? For population figures, please use the official data from data.census.gov. Please report the integer difference.",736455,"Step 1: Using a web browser, access a search engine and conduct a search, ""Washington cities by area""
Step 2: Navigate to the second search result, https://en.wikipedia.org/wiki/List_of_municipalities_in_Washington
Step 3: Evaluate the page contents, finding the largest and smallest county seats by land area, Seattle and Cathlamet
Step 4: Using a web browser, navigate to https://data.census.gov/
Step 5: Using the website's search area, conduct a search, Seattle, Washington
Step 6: Record the reported 2020 Decennial Census population of Seattle, Washington, 737,015
Step 7: Using the website's search area, conduct a search, Cathlamet, Washington
Step 8: Record the reported 2020 Decennial Census population of Cathlamet, Washington, 560
Step 9: Using a calculator, find the difference in populations,

737,015 - 560
736,455
Step 10: Report the correct answer to my user in the requested format, ""736,455""",
83,"Answer the following question:
How many slides in this PowerPoint presentation mention crustaceans?",4,"1. Open the provided file.
2. Scroll through the presentation, noting the animal names on each slide.
3. Search the web for “crayfish” to verify that they are crustaceans.
4. Read the results, noting that they are crustaceans.
5. Search the web for “isopods” to verify whether they are crustaceans.
6. Read the results, noting that they are.
7. Since I’m confident that I know whether all of the other animals are crustaceans, I count the ones that are to get the answer, 4.",a3fbeb63-0e8c-4a11-bff6-0e3b484c3e9c.pptx
84,"Answer the following question:
What percentage of the total penguin population according to the upper estimates on english Wikipedia at the end of 2012 is made up by the penguins in this file that don't live on Dream Island or have beaks longer than 42mm? Round to the nearest five decimal places.",0.00033,"1. Opened the file in Excel.
2. Counted the penguins that are not on Dream Island with bills shorter than 42mm using `COUNTIFS(C1:C345, "">42"", B1:B345, ""<>Dream"")` (132).
3. Searched ""wikipedia penguin populations"" on Google search.
4. Opened the ""List of Sphenisciformes by population"" Wikipedia page.
5. Clicked ""View history"" to see the history of the page.
6. Opened the last 2012 version.
7. Added up the penguin species populations (39808770).
8. Calculated the percentage (132 / 39808770 * 100% = 0.00033158%).
9. Converted to scientific notation (3.3 x 10^-4%).",8d46b8d6-b38a-47ff-ac74-cda14cf2d19b.csv
85,"Answer the following question:
Given $x_0 = -5$ and $f(x) = x^3 + 4x^2 - 3x + 8$, what is the smallest $n$ where using Newton's Method $n = n+1$ after rounding to four decimal places?",2,"1. Verify Netwon's method as x_(n+1) = x_n - f(x_n)/f'(x_n) by searching
2. Calculate the derivative: f'(x) = 3x^2 + 8x - 3
3. Find x_1 using the given x_0 value: x_1 = -5 - ((-5)^3 + 4(-5)^2 - 3(-5) + 8)/(3(-5)^2 + 8(-5) - 3) = -79/16 ≈ -4.9375
4. Iterate: x_2 = -79/16 - ((-79/16)^3 + 4(-79/16)^2 - 3(-79/16) + 8)/(3(-79/16)^2 + 8(-79/16) - 3) = -309711/62744 ≈ -4.9361
5. They are not the same, so iterate: x_3 = -309711/62744 - ((-309711/62744)^3 + 4(-309711/62744)^2 - 3(-309711/62744) + 8)/(3(-309711/62744)^2 + 8(-309711/62744) - 3) = -18658881319456319/3780082116675876 ≈ -4.9361
6. They are the same, so we stop and know n = 2 is the smallest value where this occurs.",
86,"Answer the following question:
You are Van Helsing, a renowned vampire hunter. A Count of Moldova, Lațcu IV, son of  Costea, has tasked you with investigating the village of Șirnea in neighboring Wallachia. The Count's advisors have reported that a vampire was spotted crossing the border near the village, and would like you to investigate it.

You travel to the village of Șirnea, and you begin your investigation. One night, just before dawn, you catch a glimpse of a man in a long black cape with red lining leaping from roof-top to roof-top with superhuman agility. It's a vampire! You try to chase the creature back to its home, but the creature is too fast. However, because of the remoteness of the village, you know with absolute certainty that the vampire must be a resident of the village. You decide that your best course of action will be to visit all 100 residents of the town during the day. You know something about vampires and humans that will make your investigation possible; humans always tell the truth, but vampires always lie.

In the afternoon, you go from house to house, speaking with all 100 residents of Șirnea. You ask everyone the same question: ""How many vampires are living in Șirnea"". Everyone in the village gives the same response, ""At least one of us is a human.""

How many residents of Șirnea have been turned into vampires?",100,"Step 1: Evaluate the problem statement posed by my user.
Step 2: Consider one known possible case: 1 Vampire, 99 humans
Step 3: Step through the possible case with the answer provided by every resident ""At least one of us is a human.""
For humans, who always tell the truth, the answer ""At least one of us is a human."" is true for the known possible case
For the vampire, who always lies, the answer ""At least one of us is a human."" is true, which violates the rule requiring the vampire to lie
Discount the case 1 Vampire, 99 Humans as possible
Step 4: Consider the worst case: 100 Vampires, 0 Humans
Step 5: Step through the worst case with the answer provided by every resident ""At least one of us is a human.""
For humans, who always tell the truth, the answer ""At least one of us is a human."" is false, but 0 humans provide this response, making this statement irrelevant
For the vampire, who always lies, the answer ""At least one of us is a human."" is false, which respects the rule requiring vampires to lie
Confirm the worst case as a provisional answer: 100 Vampires, 0 humans, answer: ""100""
Step 6: Consider a case with only one human: 99 Vampires, 1 Human
Step 7: Step through the case with the answer provided by every resident ""At least one of us is a human.""
For humans, who always tell the truth, the answer ""At least one of us is a human."" is true
For the vampire, who always lies, the answer ""At least one of us is a human."" is true, which violates the rule requiring vampires to lie
Discount the case of 99 Vampires, 1 Human as possible
Step 8: Report the correct response to my user, ""100""",
87,"Answer the following question:
Examine the video at https://www.youtube.com/watch?v=1htKBjuUWec.

What does Teal'c say in response to the question ""Isn't that hot?""",Extremely,"1. Follow the link
2. Watch the clip until the question ""Isn't that hot"" is asked
3. Take note of the reply.",
88,"Answer the following question:
The attached file shows the locomotives in the collection of a North American railroad museum. How many wheels do the listed steam locomotives have in total?",60,"1. Open the attached spreadsheet.
2. Examine its structure, with the steam locomotives listed together and a column denoting the wheel configuration.
3. Search the web for “steam locomotive wheel configuration”.
4. Click Wikipedia result.
5. Skim article to learn that the Whyte Notation is commonly used in North America.
6. Click link to Whyte Notation article.
7. Skim article to learn how to read the Whyte Notation: each number corresponds to the number of one type of wheel.
8. Count the wheels listed for steam locomotives in the spreadsheet to get the answer, 60.",54612da3-fd56-4941-80f4-5eb82330de25.xlsx
89,"Answer the following question:
This is a secret message my friend gave me. It says where we should meet for our picnic on Friday. The only problem is, it’s encrypted in the Caesar cipher, so I can’t read it. Can you tell me what it says? This is the message:

Zsmxsm sc sx Zyvilsec Zvkjk.",Picnic is in Ploybius Plaza.,"1. Search the web for “Caesar cipher decrypt”.
2. Click on top result, a decoding website.
3. Enter the message into the text box.
4. Click “DECRYPT (BRUTEFORCE)” to get all possible decryptions.
5. Scroll through the results, noting that one possibility matches the user’s scenario of having a picnic.",
90,"Answer the following question:
What is the area of the green polygon in the attached file? The numbers in purple represent the lengths of the side they are next to.",39,"1. Open the attached file.
2. Split the shape into five rectangles.
3. Find the missing side lengths from the side lengths that are given.
4. Find the area for each rectangle.
5. Add the areas together to get the area of the entire shape, 39.",6359a0b1-8f7b-499b-9336-840f9ab90688.png
91,"Answer the following question:
According to wikipedia, how many Asian countries still have a monarchy and access to the sea in 2021?",12,"1. Search the internet for ""asian monarchies""
2. Navigate to from the search results 
3. Switch to the history tab
4. Locate and navigate to a revision from 2021
5. Open the articles for each listed monarchy in new tabs
6. Verify access to the sea for each country using the provided maps and optionally Google Maps",
92,"Answer the following question:
The attached spreadsheet contains the sales of menu items for a regional fast-food chain. Which city had the greater total sales: Wharvton or Algrimand?",Wharvton,"1. Open the attached file.
2. Locate the rows representing Wharvton and Algrimand.
3. Write functions to sum each relevant row.
4. Compare the sums.",7cc4acfa-63fd-4acc-a1a1-e8e529e0a97f.xlsx
93,"Answer the following question:
Who composed the song that was performed by a rooster and a hamster in separate animated videos at separate tempos with different lyrics? Answer using the format First name Last name.",Roger Miller,"1. Searched ""song performed by rooster and hamster"" on Google.
2. Opened https://en.wikipedia.org/wiki/The_Hampsterdance_Song.
3. Noted the song ""Whistle Stop"" was the original to use the tune.
4. Followed the link to https://en.wikipedia.org/wiki/Robin_Hood_(1973_film).
5. Found the composer of ""Whistle Stop"".",
94,"Answer the following question:
You are given this Excel file as a map. You start on the START cell and move toward the END cell. You are allowed to move two cells per turn, and you may move up, down, left, or right. You may not move fewer than two cells, and you may not move backward. You must avoid moving onto any blue cells. On the eleventh turn, what is the 6-digit hex code (without prefix) of the color of the cell where you land after moving?",F478A7,"1. Opened Map.xlsx.
2. Counted 11 turns of 2 spaces each (22 spaces) along the path of non-blue cells.
3. Opened cell formatting for the cell.
4. Clicked the ""Fill"" tab.
5. Clicked ""More Colors...""
6. Noted the hex code of the color.",65afbc8a-89ca-4ad5-8d62-355bb401f61d.xlsx
